Business,Street,City,State,Postcode,Country,Phone,Website,Email,Email Type,Categories,Description,Revenue,Employees,Founded,Sic,Naics,Linkedin,Facebook,X,Instagram,Youtube,Lat,Lng,Contact First Name,Contact Last Name,Contact Role,Contact Email
David Wesley's Patio Rooms,1440 Tutter St,Jacksonville,FL,32211,United States,(904) 998-0300,https://www.wprjax.com/,dwprjax@gmail.com,Unknown,"Roofing contractor, Patio enclosure supplier, Paving contractor, Sunroom contractor","David Wesleys Patio Rooms, based in Jacksonville, FL, specializes in providing custom enclosed patios and various outdoor living enhancements. With over 35 years of experience, they offer products such as screen rooms, glass lanais, pool enclosures, patio covers, and more.",$1.3 M,7,,"15,152","23,236",,,https://www.wprjax.com/screen-room,,,30.3356604,'-81.5988258,,,,
Deluxe Roofing,5220 N Pearl St 32 Suite 32,Jacksonville,FL,32208,United States,(904) 204-2589,https://jacksonvillerooffix.top/,,,Roofing contractor,Roof Repair in Jacksonville (904) 204-2589 Call Us,,,,,,,,,,,30.3714671,'-81.6578372,,,,
Devore Capital Contracting,233 E Bay St Ste 912,Jacksonville,FL,32202,United States,(904) 746-0050,https://devorecapital.com/,scott@devorecapital.com,,"Roofing contractor, General contractor","DeVore Capital is a versatile construction and real estate company based in Jacksonville, FL, specializing in roofing, general contracting, development, and commercial services. They offer a comprehensive range of services including residential and commercial roofing, construction management, and business consulting, aimed at simplifying property projects for busy clients.",$1.5 M,8,2016,"87,874","54,541",https://www.linkedin.com/company/devore-capital,https://www.facebook.com/devorecapital,https://x.com/devorecapital,https://www.instagram.com/devorecapital,https://www.youtube.com/@devorecapital,30.3257427,'-81.654662,Jason,Holland,"Vice President, Operations",jason@devorecapital.com
Dibble Roofing Co Inc,3518 E Morrow St,Jacksonville,FL,32217,United States,(904) 731-2835,https://dibblerc.com/,,,Roofing contractor,"Dibble Roofing & Construction Co. — Jacksonville FLs trusted roofing contractor since 1949. Roof repair, roof replacement, free roof inspections & estimates. Shingle, tile, metal, TPO, EPDM & flat roofing for residential, commercial, multi-family",,,,,,,,,,,30.2600681,'-81.6253573,,,,
Dimension Construction,1045 N Liberty St,Jacksonville,FL,32206,United States,(904) 249-6094,https://www.dimensionconstruction.biz/,ramin@dimensionconstruction.biz,,Construction company,"Dimension Construction is a general contracting firm with a wealth of experience in building, maintaining, and repairing commercial facilities.",<$5 M,<25,,"15,152","23,236",,,,,,30.3357842,'-81.650084,,,,
Dirty South Flooring & Residential Services,10264 Sandler Rd,Jacksonville,FL,32222,United States,(904) 678-0126,https://www.facebook.com/DirtySouthResidential/,dirtysouthresidential@gmail.com,Unknown,General contractor,,,,,,,,https://www.facebook.com/DirtySouthResidential/,,,,30.2318558,'-81.8287691,,,,
Discount Direct Metal Roofing,9169 New Berlin Rd,Jacksonville,FL,32226,United States,(904) 696-9700,https://www.ddmetal.com/,ddmr@ddmetal.com,,"Roofing contractor, Metal supplier, Roofing supply store, Steel distributor","We are a company that manufactures metal roofing panels, trim, and accessories. Our products comply with the Florida State Code, Section 1507 regarding Quality Assurance. We acquired our certification from Keystone Certifications, Inc. licensee #234 and our Florida approval number is #FL4541.",$1.4 M,6,2000,"52,525","42,423",https://www.linkedin.com/company/discount-direct-metal-roofing,,,,,30.399397,'-81.5538328,,,,
Diversity Roofing & Contracting,10151 Deerwood Park Blvd,Jacksonville,FL,32256,United States,(904) 979-0556,https://www.diversity-roofing.com/,,,Construction company,Diversity Roofing,,,,,,,,,http://instagram.com,,30.2428822,'-81.5507297,,,,
Divici Roofing And Construction,4110 Southpoint Blvd Ste 228,Jacksonville,FL,32216,United States,(904) 796-4030,https://diviciroofing.com/,,,Roofing contractor,"Call Divici Roofing & Construction for all your roofing needs. We provide general construction, shingles installation, tile repair or installation, metal repair or installation, free inspection, lifetime warranty, and insurance claims in Jacksonville",,,,,,,,,,,30.2554452,'-81.5907899,,,,
Domestic Design Roofing Jacksonville,9985 Hood Rd,Jacksonville,FL,32257,United States,(904) 321-0626,https://domesticdesignroofing.com/,info@domesticdesignroofing.com,Service busy,Roofing contractor,"Domestic Design Roofing is a local, family-owned business who strives to honor the Lord though unwavering integrity, quality work, and excellent communication with customers. For over 20 years we have met the residential and commercial roofing needs in Nassua, Duval, St.",,2,2001,,,https://www.linkedin.com/company/domestic-design-roofing,https://www.facebook.com/DomesticDesignRoofing,,https://www.instagram.com/domesticdesignroofing,,30.1970894,'-81.58254,,,,
Donnelly Roofing & Repair,10221 New Kings Rd,Jacksonville,FL,32219,United States,(386) 342-4955,,,,"Roofing contractor, Building firm, Carpenter",,,,,,,,,,,,30.4213063,'-81.7522596,,,,
Dubo Roofing And Construction,830 Kingsley Ave,Orange Park,FL,32073,United States,(904) 396-1889,https://duboroofing.com/,jweseman@duboroofing.com,,"Roofing contractor, Construction company","Since 2001, DUBO Roofing has been providing high-quality residential and commercial roofing services in Jacksonville, Orange Park, Mandarin, Fleming Island and the entire First Coast area. DUBO Roofing is located at 830 Kingsley Ave. in Orange Park ,FL and also hasa Jacksonville office.",<$5 M,<25,2001,"17,176","23,238",https://www.linkedin.com/company/dubo-roofing,https://www.facebook.com/DUBORoofingFL,https://x.com/DuboRoofing,https://www.instagram.com/duboroofing,,30.1653697,'-81.711203,,,,
Duffey Southeast Inc,550 Balmoral Cir N Ste 106,Jacksonville,FL,32218,United States,(904) 751-1931,https://duffeyse.com/,mjones@duffeyse.com,Unknown,General contractor,"Solid Foundations. Successful Beginnings.
With a history dating back to 1945, Duffey Southeast, Inc. has evolved into a team of highly experienced contractors specializing in commercial, retail, data + telecom, and industrial projects. Our construction portfolio includes tenant improvements, administrative and financial buildings, retail, industrial, service operations centers, data centers, and healthcare facilities.",$19.4 M,72,1945,"15,154","23,236",https://www.linkedin.com/company/duffey-southeast-inc-,,https://www.x.com/duffeyinc,https://www.instagram.com/duffeysoutheast,https://www.youtube.com/channel/UCeKrkVAYT4WDb3SI0NsbEcg,30.4281766,'-81.6535348,Sarah,McGuffin,Marketing Coordinator,smcguffin@duffeyse.com
Durham Building Materials Inc.,5914 Norwood Ave,Jacksonville,FL,32208,United States,(904) 764-9541,https://www.durhambuilding.com/,mstanek@durhambuilding.com,,"Roofing supply store, Building materials supplier, Electrical supply store, Key duplication service, Lumber store, Plumbing supply store, Pneumatic tools supplier, Hardware store, Tool store","Durham Building Materials is a family-owned hardware store operating for three generations in Jacksonville, Florida, since 1969. The company specializes in providing a wide range of construction supplies, including lumber, metal, screws, and millwork products.",$3.8 M,17,1969,"52,525","44,444",https://www.linkedin.com/company/durham-building-materials-inc,https://www.facebook.com/durhambuilding,,https://www.instagram.com/durham_building_materials,,30.3748016,'-81.6666259,Ryan,Stanek,"Manager, Operations",rstanek@durhambuilding.com
Duval Master Construction,6653 Powers Ave #18,Jacksonville,FL,32217,United States,(904) 445-9312,https://duvalmasterconstruction.com/,,,Dry wall contractor,,,,,,,,,,,,30.2534869,'-81.6154479,,,,
E2 Roofing Jacksonville,6900 Philips Hwy #31,Jacksonville,FL,32216,United States,(904) 467-7943,https://www.e2roofingjax.com/,,,Roofing contractor,E2 Roofing provides quality roofing services in the Jacksonville and Nashville area. Built With Integrity,$3 M,5,2017,"17,176","23,238",https://www.linkedin.com/company/e2-roofing-jax,https://www.facebook.com/E2roofing,,https://www.instagram.com/e2_roofing,,30.2468052,'-81.6039685,,,,
Ea Roofing,5248 Woodcrest Rd,Jacksonville,FL,32205,United States,(904) 520-3316,,,,Roofing contractor,,,,,,,,,,,,30.2987546,'-81.73511,,,,
Eastcoast Quality Roofing Inc,5572 110th St,Jacksonville,FL,32244,United States,(904) 471-4499,,,,Roofing contractor,,,,,,,,,,,,30.2407421,'-81.7278707,,,,
Eastern Roofing Company,2002 San Marco Blvd Suite 200,Jacksonville,FL,32207,United States,(904) 775-7663,https://www.easternroofing.com/,,,Roofing contractor,"Eastern Roofing is a family-owned roofing company with over 40 years of experience, founded by a father and his three sons. They specialize in residential roofing services, including premium asphalt, synthetic slate, metal, and cedar roofing, while also providing insurance guidance to help clients navigate claims.",$2.7 M,10,,"17,176","23,238",,,,,,30.3036628,'-81.6540217,,,,
Eco Restore,7563 Philips Hwy Bldg 300,Jacksonville,FL,32256,United States,(904) 226-9265,https://ecorestorellc.com/,jbridgeman@ecorestorellc.com,Unknown,Roofing contractor,"ECO Restore is a full-service contractor based in Jacksonville, FL, founded in 2018 with over 40 years of industry experience. They specialize in roofing services and pride themselves on providing affordable prices and quality workmanship to local clients, including friends, family, and neighbors.",$1.8 M,6,2018,"17,176","23,238",,https://www.facebook.com/EcoRestoreLLC,,https://www.instagram.com/eco_restore,,30.2341448,'-81.5918902,Joshua,Bridgeman,"Owner, Chief Financial Officer",jbridgeman@ecorestorellc.com
Ecobuild Roofing,13475 Atlantic Blvd Unit 8-875,Jacksonville,FL,32225,United States,(904) 643-3686,https://ecobuildjax.com/,pavel@ecobuildjax.com,,Roofing contractor,"Ecobuild Roofing provides top-quality roofing services in Jacksonville, FL, and surrounding areas, including residential roofing and storm damage restoration. With over 10 years of experience, they specialize in addressing the specific challenges of Floridas weather, ensuring homes are protected against hurricanes and heavy rainfall.",$521 K,6,2017,"17,176","23,238",,https://facebook.com/ecobuildgroupinc,https://ecobuildjax.com/privacy-policy,https://www.instagram.com/ecobuildgroupinc,https://www.youtube.com/@EcobuildroofingFL,30.3220685,'-81.4534048,Pavel,Morozov,,pavel@ecobuildjax.com
"Edge - Design Build, Roofing, Inspections",12276 San Jose Blvd Ste 610,Jacksonville,FL,32223,United States,(904) 303-9181,,,,Construction company,,,,,,,,,,,,30.1457984,'-81.6348122,,,,
Effective Roofing Services Llc,5149 Sunbeam Rd #3,Jacksonville,FL,32257,United States,(904) 352-6431,https://effectiveroofing.net/,luis.monegro@effectiveroofing.net,Unknown,Roofing contractor,Default page,,,,,,,,,,,30.2063349,'-81.5818132,,,,
Elite Roofing Jacksonville Fl,1316 Shootingstar Ln,Jacksonville,FL,32259,United States,(904) 664-4844,,,,"Roofing contractor, Gutter cleaning service, Siding contractor",,,,,,,,,,,,30.1115335,'-81.5831293,,,,
Elite Roofing Of Jax Inc,12960 Old St Augustine Rd,Jacksonville,FL,32258,United States,,,,,Roofing contractor,,,,,,,,,,,,30.1465817,'-81.569997,,,,
Elite Steel,,Jacksonville,FL,32204,United States,(904) 799-6499,https://elitesteel.com/,sales@elitesteel.biz,Unknown,Roofing supply store,"Our mission at Elite Steel is to provide our customers with high-quality metal roofing panels that exceed their expectations in terms of durability, strength, and aesthetic appeal. We are committed to delivering exceptional customer service, providing expert advice and guidance, and ensuring that our products are delivered on time and within budget.",,1,2020,,,,,,,,30.3385426,'-81.6746345,,,,
Ellis Roofing Co,3938 Sunbeam Rd,Jacksonville,FL,32257,United States,(386) 342-4987,,,,"Roofing contractor, Building firm, Carpenter",,,,,,,,,,,,30.205301,'-81.614257,,,,
Elo Roofing,3415 Kori Rd,Jacksonville,FL,32257,United States,(904) 822-9630,https://eloroofing.com/,leads@eloroofing.com,,Roofing contractor,"Rogero & Williams is a family owned and operated roofing contractor specializing in the residential market. We offer many years of experience and we pride ourselves in providing reliable service, quality craftsmanship & materials, and the highest level of customer service from onset to completion of a project.",$1.5 M,12,2013,"17,176","23,238",https://www.linkedin.com/company/elo-roofing,https://www.facebook.com/elorestorationdenver,https://x.com/RestorationElo,https://www.instagram.com/elorestoration,https://www.youtube.com/channel/UCDCCbDJ1o5X2fMU_Kyt6XPg,30.2038955,'-81.6201676,Nathan,Dennis,Sales Specialist,nathan_d@eloroofing.com
Emco Roofing Contractors,404 Beverly Ln,Jacksonville,FL,32254,United States,(904) 693-4874,,,,"Roofing contractor, Insulation contractor, Siding contractor",,,,,,,,,,,,30.3189016,'-81.7510184,,,,
Empire Roofing Inc,3110 W 45th St,Jacksonville,FL,32209,United States,,,,,Roofing contractor,,,,,,,,,,,,30.3670001,'-81.7160422,,,,
Empireworks Reconstruction,12724 Gran Bay Pkwy Suite 410 - #5588,Jacksonville,FL,32258,United States,(888) 278-8200,https://www.empireworks.com/,info@empireworks.com,,General contractor,"EmpireWorks is an exterior reconstruction and painting company which provides services across California, Nevada, Arizona, Colorado, and Florida. They do painting, wood repairs, welding, waterproofing, fencing and installation, and property Inspections.",$110 M,890,2002,"15,152","23,236",https://linkedin.com/company/empireworks,https://www.facebook.com/empireworks,https://www.x.com/empire_services,https://instagram.com/empireworksreconstruction,https://youtube.com/channel/UCOEaDZSPG0WuYVk9cf-Tmzg,30.1395695,'-81.5319168,Christopher,Lynn,Project Manager,clynn@empireworks.com
Endless Summer Roofing Co.,10450 San Jose Blvd Suite M,Jacksonville,FL,32257,United States,(904) 357-0722,https://www.endlesssummerroofing.com/,info@yourfloridaroofer.com,Unknown,Roofing contractor,"Trusted roofing services in Jacksonville & beyond. Family-owned, fully licensed since 2005. Call us today!",,,,,,https://www.linkedin.com/company/endless-summer-roofing-co,https://www.facebook.com/EndlessSummerRoofing,,,,30.1887296,'-81.6281041,,,,
"Epic Contractors, Inc.",56 Evans Dr,Jacksonville Beach,FL,32250,United States,(904) 588-4490,https://www.epiccontractorsinc.com/,epiccontractorsinc@gmail.com,Unknown,Construction company,Epic Contractors | Custom Home Construction and Renovation,,,,,,,,,,,30.2732073,'-81.4069009,Casey,Conner,,casey@epiccontractorsinc.com
Equity Builders Of Florida Llc,2650 Rosselle St,Jacksonville,FL,32204,United States,(904) 398-1044,https://equitybuildersfl.com/,jindriolo@equitybuildersfl.com,,"Roofing contractor, General contractor, Swimming pool contractor","Equity Builders is a leader in commercial construction and construction management located in North Florida. Having been in business for over fifteen years, our passion shows both in our work and our customers growth. We hold ourselves to excellency through accountability, diligence, and efficiency.",,3,2006,,,,,https://www.theblockjax.com,,,30.3191651,'-81.6948491,,,,
Equity Roofing Llc,2650 Suite 2 Rosselle St,Jacksonville,FL,32204,United States,(904) 631-1927,,,,Roofing contractor,,,,,,,,,,,,30.3191467,'-81.6948556,,,,
Erie Home,7060 103rd St,Jacksonville,FL,32210,United States,(904) 579-0376,https://eriehome.com/locations/roofing/jacksonville-fl/,customersupport@eriehome.com,,Roofing contractor,"Founded in 1976 to provide homeowners with superior remodeling experiences, Erie Home has become a national leader in home improvement. This is thanks to our exceptional team of hardworking professionals who represent the best the industry has to offer.",$1.1 B,"17,000",1976,"15,152","23,236",https://www.linkedin.com/company/signature-mortgage,https://www.facebook.com/eriehome,https://www.x.com/sigmortgages,,,30.2461697,'-81.7621242,Chadley,Smith,,chadley.smith@eriehome.com
Errc Roofing,5220 Helm Ave,Jacksonville,FL,32244,United States,(904) 664-6048,,,,Roofing contractor,,,,,,,,,,,,30.2354566,'-81.7168791,,,,
Ers Corp,760 Talleyrand Ave,Jacksonville,FL,32202,United States,(904) 791-9992,https://www.ersfl.com/,v.morris@ersfl.com,,General contractor,"Environmental Remediation Services, Inc. (ERS) is a full service professional environmental contracting firm. (Private company)",$6.8 M,3,1992,"49,495","56,562",https://www.linkedin.com/company/erscorp,https://www.facebook.com/ersincorporated,https://www.x.com/ers_fl,,,30.3301535,'-81.6317591,Valtious,Morris,"Vice President, Operations",v.morris@ersfl.com
Ers Metals,12574 Flagler Center Blvd Suite 101 #1016,Jacksonville,FL,32258,United States,(904) 206-8316,https://ersmetals.com/,,,"Metal supplier, Roofing supply store","Florida metal roofing supplier for contractors—standing seam and 5V panels, custom trim, on-site roll-forming, field measurement checks, IMQ for quick and accurate quotes.",,,,,,https://www.linkedin.com/company/ersmetals,https://www.facebook.com/ersmetals,https://x.com/ErsMetals,https://www.instagram.com/ersmetals,https://www.youtube.com/@ERSMetals,30.140266,'-81.519792,,,,
Evans & Sons Construction Company Inc.,5454 Ageson Rd,Jacksonville,FL,32219,United States,(904) 509-4563,,,,Construction company,,,,,,,,,,,,30.3903613,'-81.7329374,,,,
Ever Enterprises Of Jax Corp,285 Bon Air Dr N,Jacksonville,FL,32218,United States,(904) 444-5162,https://www.everenterprisescorp.com/,everenterprisescorp@gmail.com,Unknown,Construction company,"Home Remodeling, Painting, General Contracting Services",,,,,,,https://www.facebook.com/everenterprisescorp,,,,30.4088183,'-81.644669,,,,
Everett Custom Renovations Llc,11665 Sail Ave,Jacksonville,FL,32246,United States,(904) 418-3571,,,,Handyman/Handywoman/Handyperson,,,,,,,,,,,,30.293605,'-81.5171897,,,,
Everett Home Repair Llc,10454 Arrow Forest Ct,Jacksonville,FL,32256,United States,(904) 418-3571,,,,"Handyman/Handywoman/Handyperson, Siding contractor, Tile contractor",,,,,,,,,,,,30.188684,'-81.615808,,,,
Everett’s Custom Renovations LLc,7881 Steamboat Springs Ct,Jacksonville,FL,32210,United States,(904) 418-3571,,,,"Handyman/Handywoman/Handyperson, Bathroom remodeler, Dry wall contractor, Flooring contractor, Tile contractor",,,,,,,,,,,,30.2568941,'-81.7800066,,,,
Extreme Roofing Company,7937 Chateau Dr S,Jacksonville,FL,32221,United States,(904) 477-9116,,,,Roofing contractor,,,,,,,,,,,,30.2895559,'-81.7807782,,,,
Fasttrackbuilders Inc.,9453 Carbondale Dr W,Jacksonville,FL,32208,United States,(904) 237-0957,,,,General contractor,,,,,,,,,,,,30.4117267,'-81.6822952,,,,
Father & Son Gutter Services,13925 Odie Rd,Jacksonville,FL,32220,United States,(904) 426-4137,https://www.fsgutters.com/,f.sgutters@gmail.com,Unknown,Gutter cleaning service,Here at FS Gutters we are solving Jacksonvilles drainage problem one roof at a time.,,,,,,,,,https://www.instagram.com/fsgutters,,30.3405668,'-81.912985,,,,
Father And Son Roofing,5012 Nathan Hale Rd,Jacksonville,FL,32221,United States,(904) 545-3621,,,,Roofing contractor,,,,,,,,,,,,30.2265892,'-81.9181159,,,,
Ferber Sheet Metal Works,4121 Evergreen Ave,Jacksonville,FL,32206,United States,(904) 356-3043,http://ferbersmw.com/,gferber@ferbersmw.com,,Sheet metal contractor,"Ferber Sheet Metal is a premier metal working facility located in Jacksonville, Florida. Since 1937, we have been providing the utmost in quality sheet metal fabrication in both the Greater Jacksonville area of North Florida, and nationwide. No job is too big or too much of a challenge for Ferber.",$45.1 M,32,1937,"34,344","33,332",https://www.linkedin.com/company/ferbersmw,,,,,30.3630497,'-81.6431316,Richard,Malzahn,Chief Financial Officer,rmalzahn@ferbersmw.com
Ferguson Brothers Roofing,4212 Blanding Blvd,Jacksonville,FL,32210,United States,(386) 342-4989,,,,"Roofing contractor, Building firm, Carpenter",,,,,,,,,,,,30.2643853,'-81.7392176,,,,
"Ferrovial Services, N.a.",6151 Philips Hwy,Jacksonville,FL,32216,United States,(904) 268-1401,https://www.ferrovial.com/en/,comunicacion@ferrovial.com,Unknown,General contractor,"Founded in 1963, Webber is a construction company specializing in intelligent infrastructure. It is headquartered in The Woodlands, Texas.",$2.6 B,"4,100",1963,"16,162","23,237",https://www.linkedin.com/company/ferrovial,https://www.facebook.com/ferrovial,https://x.com/ferrovial,https://instagram.com/ferrovial,https://www.youtube.com/ferrovial,30.2595516,'-81.6128154,Tamim,Khan,"Pavement Engineering Lead (north, Americas)",khan@ferrovial.com
Fers Masonry & Dryer Vent Repair Services,1586 Bassett Rd,Jacksonville,FL,32208,United States,(239) 419-0415,https://fers-construction-landscaping-imc.square.site/,,,"Masonry contractor, Construction company",,,,,,,,,,,,30.4103353,'-81.6812535,,,,
Fidus Group,410 Blanding Blvd,Orange Park,FL,32073,United States,(904) 230-5548,http://www.thefidusgroup.com/,info@thefidusgroup.com,,Roofing contractor,"The Fidus Group, Construction Roofing Pavers, St. Augustine, FL The Fidus Group is a well-established general contracting firm that has been providing quality service to St. Augustine region since 2005 with Construction, Roofing and Pavers.",$1.6 M,15,2005,"17,176","23,238",https://www.linkedin.com/company/fidus-roofing-and-construction,https://www.facebook.com/FidusRoofingandConstruction,,,,30.1632247,'-81.7488763,Leah,King,Marketing,leah@thefidusgroup.com
Finley Roofing Co,6108 Arlington Rd,Jacksonville,FL,32211,United States,(386) 342-4960,,,,Roofing contractor,,,,,,,,,,,,30.3333279,'-81.596053,,,,
First Coast Roofing & Construction,9611 San Jose Blvd,Jacksonville,FL,32257,United States,(904) 287-7756,,,,Roofing contractor,,,,,,,,,,,,30.2036913,'-81.6166354,,,,
First Coast Roofing Company,11341 Distribution Ave E Ste 6,Jacksonville,FL,32256,United States,(904) 685-9384,https://fcroofingcompany.com/,info@fcroofingcompany.com,Unknown,Roofing contractor,Call the Trusted Jacksonville and Ponte Vedra Beach Roofing and Storm Damage Repair Expert today! *FREE Inspection*. Schedule Online in Under 10 seconds!,,3,,,,,https://facebook.com/firstcoastroofingcompany,,https://instagram.com/firstcoastroofing,https://youtube.com/@firstcoastroofing,30.1633456,'-81.5284981,,,,
First Light,13245 Atlantic Blvd #4-366,Jacksonville,FL,32225,United States,(904) 571-3646,https://firstlighthomeservices.com/,sales@firstlighthomeservices.com,Unknown,Roofing contractor,"First Light Home Services is a trusted roofing company in Jacksonville, FL offering roof replacement, roof installation, and storm damage services. Call today.",,,,,,,https://www.facebook.com/p/First-Light-Home-Services-100091559013713,https://www.x.com/home,https://www.instagram.com/firstlighthomeservices,,30.3208748,'-81.4602863,,,,
First Light Home Services,2225 St Johns Bluff Rd S #3,Jacksonville,FL,32246,United States,(904) 590-7500,https://firstlighthomeservices.com/,sales@firstlighthomeservices.com,Unknown,Roofing contractor,"First Light Home Services is a trusted roofing company in Jacksonville, FL offering roof replacement, roof installation, and storm damage services. Call today.",,,,,,,https://www.facebook.com/p/First-Light-Home-Services-100091559013713,https://www.x.com/home,https://www.instagram.com/firstlighthomeservices,,30.3097692,'-81.5249483,,,,
Five Star Remodeling And More Llc,8118 Renault Dr S,Jacksonville,FL,32244,United States,(904) 667-1769,,,,Contractor,,,,,,,,,,,,30.2404346,'-81.7834595,,,,
Fla Roofing And Restoration Inc.,Touchton Rd Building 100,Jacksonville,FL,32246,United States,(904) 853-3009,https://flaroofingandrestoration.com/jacksonville-roofers/,flaroofing@gmail.com,,Roofing contractor,Free roof inspections & expert repairs. FLA Roofing & Restoration delivers trusted craftsmanship & transparent service for homes & businesses.,,,,,,,https://www.facebook.com/p/FLA-Roofing-And-Restoration-Inc-100083235823830,,,,30.2630017,'-81.5504521,,,,
Flanagan Roofing & Repair,12710 San Jose Blvd,Jacksonville,FL,32223,United States,(386) 342-4935,,,,"Roofing contractor, Building firm, Carpenter",,,,,,,,,,,,30.1361144,'-81.6328328,,,,
Florida Elite Roofing,8130 Baymeadows Way W #103,Jacksonville,FL,32256,United States,(800) 935-7415,https://fleliteroofing.com/,info@fleliteroofing.com,Unknown,Roofing contractor,"Florida Elite Roofing & Home Improvement LLC - Protecting Central Florida, One Roof at a Time
For over 2 years, weve been Central Floridas trusted roofing partner, combining military-grade discipline with unmatched craftsmanship. As a veteran-owned company, we bring precision and reliability to every project across Orange, Volusia, Brevard, Polk, Osceola, Lake, Seminole, and Sumter counties.",,2,2024,,,,https://www.facebook.com/people/Florida-Elite-Roofing/61556431801046,,https://www.instagram.com/floridaeliteroofing,,30.2312429,'-81.5907225,,,,
Florida Metal Products Inc,6940 Stuart Ave,Jacksonville,FL,32254,United States,(904) 783-8400,https://flamco.com/,info@flamco.com,,"Building materials supplier, Manufacturer, Metal supplier, Sheet metal contractor","FLAMCO specializes in manufacturing high-quality metal roofing products catering to both residential and commercial markets throughout the U.S. Their product range includes a variety of metals, gauges, sizes, and finishes, ensuring tailored solutions for various roofing needs.",$25.4 M,118,1923,"34,344","33,332",https://www.linkedin.com/company/omnimax-international-inc.,,,,,30.3169247,'-81.7613096,Lee,Jones,,ljones@flamco.com
Florida Roof & Air,9210 Cypress Green Dr,Jacksonville,FL,32256,United States,(904) 683-7506,,,,"Roofing contractor, Air conditioning contractor",,,,,,,,,,,,30.2229612,'-81.5680804,,,,
Florida Roof And Solar Contractors,4949 Sunbeam Rd #2,Jacksonville,FL,32257,United States,(904) 738-8552,,,,"Roofing contractor, Home automation company",,,,,,,,,,,,30.2063105,'-81.5848787,,,,
Florida Roof Specialists,8535 Baymeadows Rd Suite 21,Jacksonville,FL,32256,United States,(800) 995-7018,https://www.wfla.com/8-on-your-side/better-call-behnken/florida-ag-sues-roofing-company-over-frivolous-liens-lawsuits-against-customers/amp/,news@wfla.com,,Roofing contractor,"WFLA is an NBC-affiliated television news station founded in 1955 and headquartered in Tampa, Florida. The company delivers local and world news content through both traditional broadcasting and digital platforms including a mobile app. WFLA serves both consumer and business audiences with comprehensive news coverage, operating multiple locations throughout its service area.",$6 M,179,1955,"48,483","51,516",https://www.linkedin.com/company/wfla-tv-news-ch-8-nbc,https://www.facebook.com/wflanewschannel8,https://www.x.com/wfla,,,30.2212996,'-81.5803354,Colleen,Seitz,Digital Director,cseitz@wfla.com
Florida Roofing & Construction,13046 Brians Creek Dr,Jacksonville,FL,32224,United States,(904) 621-4998,,,,Roofing contractor,,,,,,,,,,,,30.2684696,'-81.4730003,,,,
Florida Roofing Corp,1749 E Duval St,Jacksonville,FL,32202,United States,(754) 256-2490,https://florida-roofing-corp.ueniweb.com/,hello@dlselectrical.com,Unknown,Roofing contractor,"Corretora de seguros especializada em benefícios corporativos, Seguros de Vida em Grupo, Planos de Saúde, Planos Odontológicos, Vales Alimentação, Refeição, Combustível.
Com foco de atuação em empresas que buscam a redução de custos e opções para proteção e segurança de seus colaboradores, além de um atendimento diferenciado e mais próximo do cliente.",$5.6 M,3,2017,"73,737","81,811",https://www.linkedin.com/company/ueni-ltd,https://www.facebook.com/ueniltd,https://x.com/ueniltd,https://www.instagram.com/ueni.ltd,https://www.youtube.com/channel/UC8fBh12eIVelFUDWpRp556g,30.3248294,'-81.6325543,,,,
Florida Roofing Pros,9310 Old Kings Rd S #104,Jacksonville,FL,32257,United States,(904) 478-1920,https://floridaroofingpros.net/roofing-contractors-jacksonville-fl/,website@floridaroofingpros.net,,Roofing contractor,"Florida Roofing Pros is a fully licensed, bonded, and insured roofing contractor located in Jacksonville, offering a wide range of residential and commercial roofing services, including roof repair, installation, inspection, and replacement. They cater to clients in Duval County and focus on using quality materials while ensuring 100% customer satisfaction.",$1.2 M,6,,"17,176","23,238",,https://www.facebook.com/floridaroofingprosjacksonville,https://x.com/roofingflorida.,,https://www.youtube.com/channel/UCqVg0ET2L2pNZhAKHXa4JSA,30.2087968,'-81.5845392,,,,
Florida State Construction,2265 St Johns Bluff Rd S,Jacksonville,FL,32246,United States,(904) 998-9899,,,,Roofing contractor,,,,,,,,,,,,30.3090119,'-81.525212,,,,
Florida Storm Roofing & Construction,5991 Chester Ave Ste 207-208,Jacksonville,FL,32217,United States,,,,,Contractor,,,,,,,,,,,,30.2616955,'-81.6225444,,,,
Floridian Roofing And Solar,10752 Deerwood Park Blvd Suit 100,Jacksonville,FL,32256,United States,(904) 772-4986,https://www.floridianroofingandsolar.com/,greggb@floridianroofingandsolar.com,Unknown,"Roofing contractor, Solar energy company","Floridian Roofing & Solar provides roofing services for both residential and commercial. We work closely with our customers and suppliers to take care of all of your roofing needs.
We understand that the thought of replacing your roof can be intimidating which is why we make the process as painless as possible by taking the time to listen to you and your questions and determine the most appropriate course of action based on your needs and your budget.",<$5 M,1,2018,"17,176","23,238",https://www.linkedin.com/company/floridian-roofing-and-solar,https://www.facebook.com/floridianroofingandsolarjacksonville,,,,30.2470592,'-81.530929,Gregg,Braswell,Owner,greggb@floridianroofingandsolar.com
